,Year,Title,0,1,2,3,4,5
89,48,3477,3,3,3,3,3,3
90,65,3150,0,0,3,0,0,0
91,48,3310,14,14,14,16,14,16
92,65,871,3,3,3,3,3,3
93,65,2790,17,17,17,17,0,0
94,48,1878,14,14,14,14,14,14
95,48,3919,3,3,3,3,3,3
96,55,501,17,0,17,0,17,17
97,48,1558,15,15,15,15,15,15
98,65,1967,0,3,0,3,0,3
99,65,1463,14,14,14,14,14,14
100,65,1713,14,14,14,14,14,14
101,65,3600,0,0,0,0,0,0
102,65,3342,14,14,14,14,14,14
103,48,1036,16,16,16,3,16,16
104,55,178,14,14,3,14,3,14
105,65,2304,11,1,9,14,11,9
106,48,1698,15,15,15,15,15,15
107,48,137,14,14,14,14,14,14
108,48,812,3,17,17,17,17,3
109,47,3254,0,3,0,0,3,0
110,48,1382,17,17,17,7,9,7
111,65,235,6,6,6,6,3,6
112,48,859,3,3,3,3,3,3
113,48,2070,14,14,14,14,14,14
114,48,1551,15,15,15,15,15,15
115,48,1917,7,7,7,7,7,7
116,65,2415,16,14,16,14,16,14
117,48,3151,14,14,14,14,14,14
118,65,2291,3,3,3,3,3,3
119,77,1300,3,3,3,3,3,3
120,53,3229,16,16,16,14,16,14
121,55,833,16,6,3,6,3,3
122,48,2198,3,3,3,3,3,3
123,65,261,14,14,14,14,14,14
124,55,3311,10,10,10,10,9,9
125,55,3536,3,3,3,3,3,3
126,55,337,15,15,15,15,15,15
127,48,3366,14,16,16,14,14,16
128,48,1643,3,3,3,3,3,3
129,48,1008,3,3,3,16,3,3
130,48,1802,0,0,0,0,0,0
131,48,616,14,14,14,3,3,3
132,48,3262,15,15,15,15,15,15
133,65,975,14,14,14,14,14,14
134,48,1004,15,15,15,15,15,15
135,48,1014,15,15,15,15,15,15
136,48,3617,3,3,3,3,3,3
137,48,1187,17,3,3,17,17,3
138,65,1072,3,3,16,3,16,3
139,65,1401,14,14,14,14,14,14
140,37,2547,3,3,3,3,3,3
141,48,1244,3,3,3,3,3,3
142,48,929,14,14,14,14,14,14
143,48,3599,17,17,17,17,17,17
144,48,1557,1,1,1,1,9,9
145,48,406,3,3,3,3,3,3
146,48,1775,3,3,3,3,3,3
147,55,1358,0,0,3,7,7,3
148,48,687,3,3,3,3,3,3
149,48,1900,16,16,16,3,16,12
150,48,1404,2,2,2,2,2,2
151,48,173,17,9,9,7,7,9
152,51,1853,3,3,3,3,3,3
153,48,204,3,12,12,12,12,3
154,48,306,14,14,14,14,14,14
155,55,357,14,14,14,14,12,14
156,48,2743,1,1,1,1,1,9
157,48,2810,3,3,3,3,3,3
158,48,1535,4,6,9,4,9,4
159,48,206,0,12,0,3,12,12
160,55,304,15,15,15,15,15,15
161,48,714,16,17,17,16,17,16
162,48,582,7,6,5,7,6,7
163,48,3831,17,17,0,17,0,0
164,48,2330,3,3,3,3,3,3
165,48,1859,3,3,3,3,3,3
166,48,3899,9,16,9,3,17,3
167,48,3153,3,3,9,3,3,9
168,48,3873,0,17,17,7,0,17
169,48,577,14,14,14,14,14,14
170,48,3604,4,0,17,0,17,17
171,48,2904,9,4,4,9,9,4
172,48,450,14,14,14,14,14,14
173,48,657,3,3,3,3,3,3
174,48,3390,14,14,14,14,14,14
175,48,801,2,2,2,2,2,2
176,77,3301,14,14,14,14,14,14
177,48,2195,3,16,16,16,3,16
178,48,1198,14,14,14,14,14,14
179,48,2319,17,17,17,17,1,17
180,48,784,3,3,3,16,16,3
181,55,541,0,0,0,0,0,0
182,55,495,3,3,3,3,3,3
183,48,1841,0,0,0,4,0,4
184,48,3937,14,14,14,14,14,14
185,48,854,14,14,14,14,14,14
186,48,1716,2,2,2,2,2,2
187,48,1578,14,14,14,14,14,14
188,48,2270,0,0,0,0,0,0
189,48,2855,3,3,3,3,3,3
190,48,2545,15,15,15,15,15,15
191,48,2913,3,3,3,3,3,3
192,48,3500,3,3,3,3,3,3
193,48,3708,3,16,16,3,3,16
194,48,3643,4,2,4,4,2,4
195,48,224,3,3,3,3,3,3
196,48,1807,4,7,4,4,4,17
197,23,912,11,3,3,11,3,11
198,48,3826,0,0,0,0,0,0
199,48,1791,3,3,3,3,3,3
200,48,2095,3,16,3,3,16,16
201,48,2264,14,14,14,14,14,14
202,48,115,17,17,17,17,17,17
203,48,763,14,14,3,3,3,14
204,48,372,15,15,15,15,15,15
205,48,3803,16,16,16,3,16,16
206,48,1989,17,9,17,17,9,9
207,48,2426,3,3,3,3,3,3
208,48,1294,13,13,13,13,13,13
209,55,1473,3,3,3,3,3,3
210,48,2065,14,14,14,14,14,14
211,55,1993,3,3,3,3,3,3
212,55,634,3,3,3,3,3,3
213,48,3445,3,16,16,3,3,16
214,48,141,14,14,14,14,14,14
215,48,888,3,0,0,3,3,0
216,48,1984,3,14,14,14,3,3
217,48,3157,3,3,3,3,3,3
218,48,1979,2,2,2,2,2,2
219,48,1296,16,16,16,16,16,3
220,55,2193,14,14,14,14,14,14
221,48,2646,14,16,14,3,14,16
222,55,2686,3,0,0,3,0,0
223,48,3583,0,0,0,0,0,0
224,55,2104,17,17,17,17,17,17
225,48,1406,14,14,14,14,14,14
226,55,1771,3,0,3,0,0,0
227,55,250,3,3,0,3,0,0
228,55,2778,14,14,14,14,14,14
229,55,2952,3,3,14,3,14,14
230,55,1825,3,3,3,3,3,3
231,55,1025,14,14,14,14,14,14
232,55,2676,14,3,3,3,3,14
233,48,2284,16,14,14,14,16,16
234,48,3095,14,14,16,14,14,14
235,48,2982,1,9,1,1,9,1
236,48,233,16,16,1,1,16,1
237,48,1717,0,0,0,0,0,0
238,48,1044,3,1,3,3,1,3
239,55,3065,3,11,11,3,11,3
240,48,3215,14,14,14,14,14,14
241,48,2977,8,8,1,8,1,8
242,55,2611,3,3,3,3,3,3
243,55,3219,15,15,15,15,15,15
244,55,2271,16,16,3,16,0,3
245,55,1563,14,14,14,14,14,14
246,55,2345,16,16,3,3,16,3
247,55,1239,1,1,14,14,14,1
248,48,3532,17,17,17,17,17,17
249,55,2562,14,14,16,16,16,14
250,55,887,2,3,2,2,3,3
251,48,1909,3,3,3,3,3,3
252,55,2954,14,14,14,14,14,14
253,55,3364,14,14,4,4,14,14
254,48,3922,6,6,6,6,6,0
255,48,1544,14,10,10,16,9,1
256,48,1171,3,7,7,3,0,3
257,81,3823,4,9,9,9,10,17
258,55,2538,3,3,3,3,3,3
259,48,2920,3,1,3,1,1,1
260,55,111,3,3,3,3,3,3
261,55,3413,3,3,3,3,3,3
262,53,666,3,16,3,16,3,3
263,55,867,13,13,13,13,13,12
264,55,3556,14,14,14,14,14,14
265,55,389,3,3,3,3,3,3
266,77,2480,3,3,3,3,3,3
267,55,698,3,16,16,3,3,3
268,48,1248,3,3,3,3,3,3
269,55,378,3,3,3,3,3,3
270,55,3261,2,2,2,3,2,2
271,48,907,14,14,14,14,14,14
272,55,1146,14,14,14,14,14,14
273,55,2012,14,14,16,16,16,16
274,55,974,3,3,3,3,3,3
275,48,2749,14,14,14,14,14,14
276,48,3674,3,3,3,3,3,3
277,48,3764,3,0,3,0,0,0
278,55,3840,3,3,3,3,3,3
279,55,1270,3,3,3,3,3,3
280,48,2422,7,7,3,7,7,7
281,65,2960,17,7,17,17,17,7
282,77,3204,2,2,3,3,2,3
283,48,1287,17,4,17,17,4,4
284,55,2629,16,16,16,14,16,16
285,55,1347,17,17,17,0,17,0
286,55,1622,16,16,16,16,14,16
287,55,2254,3,7,3,3,7,3
288,48,2400,0,0,0,0,0,0
289,48,2050,0,17,3,3,3,3
290,55,1040,3,3,0,0,0,16
291,48,2460,16,16,16,14,16,14
292,48,2756,14,16,14,14,16,14
293,55,2140,7,7,3,3,3,7
294,48,2514,3,3,3,3,3,3
295,53,2112,14,14,14,14,14,14
296,55,3073,3,3,3,3,3,3
297,55,2811,3,3,3,3,3,3
298,48,1788,3,16,3,3,16,3
299,55,1670,3,3,16,3,3,3
300,48,3165,13,13,17,17,17,9
301,48,1281,3,3,14,3,3,14
302,55,1906,14,14,14,14,14,14
303,55,2704,3,3,3,3,3,3
304,77,2294,3,3,3,3,3,3
305,55,3690,3,3,3,3,3,3
306,55,1436,3,3,3,3,3,3
307,48,744,14,14,14,14,14,14
308,55,1550,0,2,2,2,0,0
309,48,1665,14,14,14,14,14,14
310,55,344,8,8,1,1,1,8
311,55,3866,3,3,3,3,3,3
312,55,3386,17,17,17,17,17,17
313,55,3125,17,4,4,4,17,4
314,55,3555,1,1,10,10,14,1
315,55,1318,3,3,3,3,3,3
316,55,398,0,0,0,0,0,0
317,77,1697,0,5,5,5,0,5
318,77,1672,3,3,3,3,3,3
319,48,1574,3,14,3,3,14,14
320,55,3088,14,14,14,14,14,14
321,48,1642,14,14,14,14,14,14
322,55,3256,3,3,3,3,3,3
323,48,1137,4,11,11,14,11,17
324,48,3615,2,2,2,2,2,2
325,55,555,4,9,9,4,17,17
326,48,3731,14,2,14,2,2,2
327,55,1304,3,3,3,3,3,3
328,48,2356,2,4,4,4,4,4
329,48,3055,14,14,14,14,14,14
330,55,3852,3,3,3,3,3,3
331,48,3577,0,6,6,0,0,6
332,48,1449,3,3,12,3,12,12
333,77,853,3,3,3,3,3,3
334,48,2274,0,4,4,0,4,4
335,48,2209,14,14,16,16,14,14
336,55,399,9,3,3,3,9,3
337,55,3466,3,3,3,3,3,3
338,55,3243,16,16,14,16,16,14
339,48,1994,1,1,1,1,1,1
340,55,709,14,14,14,14,14,14
341,55,2060,3,3,3,3,3,14
342,77,3313,11,11,11,11,3,11
343,53,207,3,3,3,3,3,3
344,55,913,14,14,14,14,14,14
345,55,3137,0,9,17,9,0,9
346,55,3377,0,0,3,3,3,6
347,55,2252,3,16,3,3,16,16
348,55,946,14,14,14,14,14,14
349,55,2739,0,0,16,17,0,17
350,55,2707,3,3,3,3,3,3
351,55,829,14,1,1,1,1,1
352,55,1217,14,14,14,12,16,12
353,55,1054,16,14,16,14,14,16
354,48,3237,3,3,3,3,3,3
355,55,1743,3,3,16,16,16,3
356,55,3670,17,17,14,14,14,17
357,55,1815,16,16,3,3,16,3
358,55,1364,1,16,16,9,9,9
359,77,2191,15,15,15,15,15,15
360,55,3132,8,1,1,11,1,11
361,77,3335,3,3,3,3,3,3
362,55,3801,2,2,2,2,2,2
363,55,3186,7,14,10,10,14,10
364,55,1028,17,17,13,14,17,14
365,55,1435,3,3,3,3,3,3
366,55,2668,14,14,14,14,14,14
367,55,1084,3,14,3,14,14,3
368,55,2608,14,14,14,14,3,14
369,53,1385,0,0,0,0,0,0
370,55,1816,1,14,14,1,14,1
371,55,3766,3,3,3,3,3,3
372,55,333,17,17,0,17,0,0
373,55,1784,0,0,16,0,16,16
374,55,2773,14,16,16,16,16,16
375,55,3581,17,4,4,4,4,17
376,55,1586,16,17,16,9,17,14
377,55,420,3,3,3,3,3,3
378,55,1644,3,2,2,3,2,2
379,55,1737,13,13,13,13,13,13
380,48,2053,17,17,17,17,17,17
381,55,1580,3,3,3,3,3,3
382,55,704,3,3,3,3,3,3
383,55,557,17,17,17,14,14,17
384,48,3194,3,3,3,3,3,3
385,55,923,12,16,12,12,16,12
386,57,947,17,14,14,3,14,3
387,55,3048,3,7,7,7,7,3
388,77,2032,1,9,1,9,1,1
389,55,2146,17,17,17,17,17,17
390,48,1429,17,17,17,17,17,17
391,48,1069,3,3,3,3,3,3
392,48,3839,3,3,3,3,3,3
393,48,2953,2,2,2,2,2,2
394,48,1135,15,15,15,15,15,15
395,48,2505,3,3,3,3,3,3
396,48,2580,3,3,3,3,3,3
397,48,3658,17,0,17,17,17,17
398,65,1144,14,14,14,14,14,14
399,48,3141,14,3,3,7,7,3
400,55,754,15,15,15,15,15,15
401,55,356,4,4,17,4,17,17
402,55,2993,3,3,3,3,3,3
403,48,2201,2,0,2,0,0,2
404,55,3605,3,3,3,3,3,3
405,55,1255,3,3,3,3,3,3
406,77,875,14,14,14,14,14,14
407,55,3238,14,14,14,14,14,14
408,77,2181,3,3,3,3,3,3
409,55,3257,14,14,14,14,14,14
410,55,3855,14,14,14,14,14,14
411,77,1709,14,0,0,14,0,14
412,55,596,13,13,13,13,13,13
413,55,445,16,16,14,16,16,16
414,77,1626,3,3,3,3,3,3
415,77,844,14,14,14,14,14,14
416,55,148,17,17,17,14,17,14
417,55,2864,1,9,1,9,1,9
418,55,3837,0,0,0,0,0,0
419,55,2300,0,0,17,17,17,17
420,55,3239,3,3,3,3,3,3
421,55,735,16,3,3,3,16,3
422,77,3753,4,4,0,4,0,4
423,77,154,16,6,16,16,6,16
424,77,517,3,3,3,3,3,3
425,55,2058,14,14,14,14,14,14
426,77,1589,3,3,3,3,3,3
427,77,1949,7,3,7,3,7,3
428,55,1119,14,14,13,13,14,13
429,55,3760,14,14,14,14,14,14
430,77,2223,17,7,9,7,17,9
431,77,938,14,14,14,4,4,14
432,55,497,0,3,3,3,0,0
433,55,1297,14,14,14,14,14,14
434,55,3547,17,17,17,17,17,14
435,77,3520,3,3,3,3,3,3
436,77,2493,14,16,14,14,16,16
437,77,1100,14,14,14,14,14,14
438,77,3269,17,17,17,4,17,17
439,55,349,15,15,15,15,15,15
440,77,2208,16,16,16,14,14,14
441,77,3384,14,14,14,14,14,14
442,77,3498,16,3,3,16,16,16
443,55,469,16,16,16,16,16,16
444,77,1231,3,3,3,3,3,3
445,77,3649,14,14,14,14,14,14
446,55,1464,3,14,14,3,3,14
447,77,1060,3,6,16,6,16,6
448,55,1414,3,3,3,3,3,3
449,77,1175,14,14,14,14,14,14
450,77,440,0,3,3,0,3,0
451,77,2144,1,9,9,1,1,1
452,55,1205,3,3,3,3,3,3
453,77,1407,17,17,0,0,17,0
454,77,3336,3,13,13,13,13,3
455,55,2848,17,17,17,17,17,17
456,55,422,14,14,14,14,14,14
457,55,2115,16,16,3,16,16,3
458,55,1514,17,17,17,9,17,17
459,77,183,3,0,7,7,0,7
460,77,3156,9,17,17,7,9,0
461,77,810,3,12,12,3,17,12
462,77,1160,14,12,12,17,14,17
463,48,3705,14,14,14,14,14,14
464,48,1726,14,16,16,14,14,16
465,77,2766,3,16,3,16,16,3
466,55,2604,14,14,14,14,14,14
467,55,1867,16,14,14,16,16,16
468,55,3129,3,3,14,14,14,3
469,55,3061,14,12,12,14,14,12
470,77,1971,0,17,0,17,17,17
471,77,3027,3,3,3,3,3,3
472,55,1419,14,14,3,14,3,14
473,77,3008,3,3,3,3,3,3
474,55,1433,14,14,14,14,14,14
475,77,1080,17,17,17,17,17,17
476,77,1761,17,9,9,9,17,4
477,77,1331,0,0,3,0,0,0
478,55,3337,0,0,0,0,0,0
479,77,3542,3,3,3,3,3,3
480,55,1265,9,9,9,9,1,9
481,77,2477,17,17,17,17,17,14
482,77,3816,14,14,14,14,14,14
483,55,2081,13,14,13,14,13,14
484,77,3566,3,3,3,3,3,3
485,77,3538,14,14,14,14,14,14
486,77,3926,0,0,0,0,0,0
487,77,1888,3,3,3,3,3,3
488,77,1071,6,6,6,6,14,14
489,77,3267,3,17,7,7,17,3
490,65,2404,0,17,17,17,0,17
491,47,2089,3,3,3,3,3,3
492,55,2350,16,14,3,16,14,16
493,77,2484,14,16,16,14,14,14
494,77,1437,3,3,16,3,3,16
495,77,1635,16,14,16,14,14,16
496,77,3592,14,14,14,14,14,14
497,77,2800,3,3,3,3,3,3
498,55,1999,1,1,17,1,1,17
499,55,1594,3,3,3,3,3,3
500,55,2568,17,4,4,17,17,17
501,55,2355,14,14,14,14,14,14
502,77,3123,3,3,3,3,3,3
503,77,2744,17,17,3,3,3,3
504,77,308,3,3,3,3,3,3
505,77,429,3,16,16,3,16,3
506,77,2997,3,3,3,3,3,3
507,77,3905,17,17,3,17,3,3
508,55,1121,4,4,4,4,4,2
509,55,2249,6,16,16,16,6,6
510,55,1283,14,14,14,14,14,14
511,77,3738,3,3,3,3,3,3
512,55,1783,14,12,3,3,14,12
513,77,1838,17,17,17,17,3,6
514,55,3439,14,14,14,14,14,14
515,77,1365,4,4,0,0,0,0
516,77,849,14,14,14,14,14,14
517,77,2513,0,0,0,0,0,7
518,53,3321,17,17,17,17,17,3
519,77,3700,3,3,3,3,3,3
520,77,3242,3,3,3,3,3,3
521,77,3187,3,3,3,3,3,3
522,53,3505,3,3,3,3,3,3
523,77,3671,12,3,3,3,12,12
524,55,1667,3,3,3,3,3,3
525,77,3467,3,3,3,3,3,3
526,55,3446,3,3,3,3,3,3
527,77,978,3,1,1,3,1,1
528,55,2352,7,14,7,7,2,2
529,55,3076,17,17,17,17,17,17
530,77,1420,3,3,16,3,3,3
531,77,2853,3,3,3,3,3,3
532,55,1169,3,3,3,3,3,3
533,55,1772,14,3,14,3,14,14
534,77,2775,3,3,3,3,3,3
535,77,3663,14,16,14,14,14,16
536,77,2983,0,0,0,0,0,0
537,40,1208,4,4,5,5,4,4
538,77,1490,14,14,14,14,14,14
539,77,3430,14,14,16,14,14,14
540,77,1567,17,17,17,17,17,17
541,77,1903,3,3,3,3,3,3
542,77,3003,4,9,1,17,9,1
543,55,3545,9,9,9,0,0,0
544,55,3014,17,17,17,17,17,17
545,77,2572,15,15,15,15,15,15
546,55,1927,16,16,14,14,14,14
547,77,3584,1,11,14,14,11,14
548,77,3001,14,17,9,17,9,14
549,77,3884,13,13,13,13,13,13
550,55,3173,0,0,0,0,0,0
551,77,1026,17,7,7,16,17,7
552,77,3694,15,15,15,15,15,15
553,21,2473,3,3,3,3,3,3
554,55,307,1,10,17,8,1,10
555,77,432,14,14,14,14,14,14
556,55,2056,3,3,3,3,3,3
557,55,3288,0,0,0,0,0,0
558,48,1041,3,14,14,3,14,3
559,77,2870,3,3,3,3,3,3
560,55,174,14,14,14,14,14,14
561,53,266,2,2,2,2,2,2
562,55,2560,14,14,14,14,16,14
563,77,3019,3,3,3,3,3,3
564,77,945,14,14,14,14,14,14
565,55,2927,1,14,14,14,14,1
566,77,771,14,3,14,3,14,14
567,55,1694,3,3,3,3,3,3
568,55,3327,3,3,3,3,3,3
569,77,2657,3,3,3,3,3,3
570,55,1232,14,14,14,3,3,3
571,55,2485,14,14,14,1,14,1
572,77,2529,14,14,14,14,14,14
573,55,3587,1,1,9,1,9,9
574,77,3804,6,3,6,6,6,3
575,77,751,0,0,0,0,0,0
576,55,3606,3,3,3,3,3,3
577,48,2248,15,15,15,15,15,15
578,77,3771,14,14,14,14,14,14
579,55,443,3,14,3,14,14,14
580,77,3347,3,3,3,3,3,3
581,48,474,14,14,14,14,14,14
582,34,1031,1,14,14,1,1,1
583,34,2402,16,14,0,0,16,14
584,53,1466,8,14,11,11,11,14
585,88,2302,17,17,4,4,4,4
586,34,3143,3,9,3,13,13,3
587,48,3811,0,17,0,0,0,17
588,92,1683,7,17,9,9,9,7
589,88,2660,0,3,3,0,0,3
590,31,3300,1,11,11,11,1,1
591,88,2690,8,1,8,11,11,1
592,35,1368,8,1,1,1,8,8
593,34,2669,14,16,14,14,16,14
594,55,1920,14,14,14,14,14,14
595,43,2731,13,13,13,13,13,13
596,55,2868,0,0,0,0,0,0
597,55,3452,3,3,3,3,3,3
598,55,3079,15,15,15,15,15,15
599,48,2625,14,14,14,14,14,14
600,65,2633,15,15,15,15,15,15
601,65,3060,3,16,16,3,16,3
602,48,1657,2,2,2,2,2,2
603,77,322,3,3,3,3,3,3
604,65,3190,7,3,7,3,0,7
605,65,717,9,1,1,9,9,9
606,67,3248,9,9,4,4,17,8
607,65,3791,17,4,2,17,17,2
608,65,3404,14,14,14,14,14,14
609,65,1624,16,3,16,3,3,3
610,55,1006,0,3,0,0,3,3
611,68,2136,3,3,3,3,3,3
612,87,1834,1,1,1,1,1,8
613,48,2292,3,3,3,3,3,3
614,65,3737,14,14,16,16,14,16
615,65,3898,14,14,14,14,14,14
616,88,765,3,3,3,3,3,3
617,77,1261,3,3,3,3,3,3
618,48,718,16,16,16,16,16,16
619,48,1842,17,17,0,17,17,0
620,34,251,3,3,3,3,3,3
621,65,1379,14,14,14,14,14,14
622,48,2217,0,3,0,0,3,0
623,65,2180,0,0,0,0,3,0
624,48,3004,3,3,3,3,3,3
625,65,2135,3,3,3,3,3,16
626,65,1470,8,1,1,1,11,8
627,48,454,12,12,12,12,12,12
628,48,1870,14,14,14,14,14,14
629,48,1332,14,14,14,14,14,14
630,65,1707,3,3,3,3,14,3
631,48,544,3,3,3,3,3,3
632,65,1786,14,14,14,14,14,14
633,48,2804,16,16,16,16,16,16
634,65,2363,14,14,14,14,14,14
635,65,1986,3,0,3,0,0,0
636,55,1678,14,14,14,14,14,14
637,48,3258,3,3,3,3,3,3
638,65,2725,14,14,14,14,14,14
639,65,2862,14,14,14,14,14,14
640,48,701,3,3,3,3,3,3
641,65,2772,12,12,3,12,3,3
642,65,2275,6,17,17,6,17,6
643,55,2459,14,3,3,3,14,14
644,65,724,3,3,3,3,3,3
645,65,2721,14,14,14,14,14,14
646,48,2383,6,6,6,6,6,6
647,65,2750,9,17,10,17,17,17
648,65,2272,3,3,16,16,3,16
649,48,1229,14,14,14,14,14,14
650,65,1128,14,14,14,14,14,14
651,55,3929,14,14,14,14,3,14
652,48,758,3,3,3,3,3,3
653,86,2166,7,0,0,0,0,7
654,65,2017,3,3,3,3,3,3
655,65,2123,1,11,8,1,11,1
656,65,733,0,0,0,0,0,0
657,65,527,14,14,14,14,14,14
658,65,552,14,14,14,14,14,14
659,48,2650,12,12,12,12,12,12
660,65,2682,3,3,3,3,3,3
661,48,1284,17,17,17,17,17,17
662,18,2617,3,3,3,3,3,3
663,52,3029,3,3,3,3,3,3
664,59,3934,3,3,3,3,3,3
665,65,3414,4,14,14,14,14,4
666,48,2005,3,3,3,3,3,3
667,65,197,10,14,1,8,9,9
668,28,461,9,9,9,4,4,9
669,55,768,17,0,17,0,17,3
670,65,1596,3,3,3,3,3,3
671,77,2367,3,3,0,3,3,3
672,48,2630,3,3,3,3,3,3
673,57,2964,4,4,4,4,4,4
674,67,669,7,7,7,7,7,7
675,55,2776,3,3,15,3,3,15
676,77,3134,15,15,15,15,15,15
677,90,3198,3,3,3,3,3,3
678,48,2430,3,3,3,3,3,3
679,55,3096,16,16,3,3,3,16
680,48,1279,12,9,9,14,12,14
681,55,3418,16,16,16,16,16,16
682,65,612,16,16,16,14,14,16
683,65,1980,17,4,17,17,0,4
684,55,2605,3,3,3,3,3,3
685,65,2067,17,17,17,17,17,17
686,48,2758,0,0,0,6,6,0
687,48,3416,0,0,0,0,0,0
688,65,3512,3,16,16,16,16,3
689,55,2863,3,3,3,3,3,3
690,88,3331,3,3,3,3,3,3
691,48,470,14,14,14,14,14,14
692,53,1638,3,3,3,3,3,3
693,28,969,3,3,3,3,3,3
694,65,2793,3,3,3,3,3,3
695,65,2282,9,17,17,17,17,17
696,65,2109,14,14,14,14,14,14
697,65,1757,3,3,3,3,3,3
698,65,2161,5,7,0,0,7,5
699,65,699,14,14,16,16,14,16
700,37,3646,8,1,1,1,8,8
701,65,1118,14,14,14,14,14,14
702,65,679,1,1,9,9,9,1
703,55,2341,3,3,3,3,3,3
704,55,892,3,3,3,3,3,3
705,48,656,13,13,13,13,13,13
706,48,1327,3,3,3,3,3,3
707,61,1645,7,7,7,7,7,7
708,48,2368,14,14,14,14,14,14
709,77,208,14,4,4,14,4,14
710,65,3844,14,14,14,14,14,14
711,65,706,8,8,8,8,8,8
712,48,2640,3,3,3,3,3,3
713,48,2508,15,15,15,15,15,15
714,62,3675,3,3,3,3,3,3
715,65,2936,3,3,2,2,2,2
716,65,3880,14,14,14,14,14,14
717,65,3460,3,3,3,3,3,3
718,48,2266,15,15,15,15,15,15
719,48,1242,14,14,14,14,14,14
720,48,2782,3,3,3,3,3,3
721,55,2155,3,3,3,3,3,3
722,65,3361,6,6,6,6,6,6
723,65,1442,7,7,7,7,7,7
724,65,3549,17,17,17,17,17,17
725,65,2452,14,14,14,14,14,14
726,55,2900,2,2,2,14,2,2
727,65,3114,16,9,0,17,17,16
728,65,226,4,17,17,17,4,17
729,48,2795,3,3,3,3,3,3
730,65,1431,14,14,14,14,14,14
731,48,530,8,4,4,8,8,8
732,65,3736,0,0,2,0,0,2
733,65,1598,14,14,14,14,14,14
734,48,1543,3,3,3,3,3,3
735,48,2872,14,14,0,8,8,14
736,93,2627,5,5,5,5,5,5
737,65,2896,14,14,14,14,14,14
738,65,899,17,17,4,17,0,4
739,95,3370,3,3,3,3,3,3
740,97,2647,12,4,4,12,4,4
741,53,528,14,14,14,14,14,14
