,Year,Title,0,1,2,3,4,5,6,7
59,68,2219,18,13,13,13,18,13,4,4
60,23,301,15,8,15,15,8,8,8,8
61,68,3213,15,15,15,15,15,15,15,15
62,23,10371,10,10,10,1,10,1,1,1
63,23,4453,1,1,16,16,16,1,16,1
64,23,5657,1,1,1,1,1,1,1,1
65,23,8387,2,2,2,8,6,2,2,8
66,68,2557,15,15,15,15,15,15,15,15
67,68,3758,1,16,1,1,1,1,1,16
68,68,9686,1,1,1,1,1,1,1,1
69,23,8070,8,19,6,19,1,1,6,1
70,68,368,6,6,6,6,6,6,6,6
71,68,8513,15,15,1,1,15,1,15,1
72,68,7478,15,11,11,11,15,11,15,15
73,23,693,16,16,15,15,16,15,16,16
74,23,8190,15,15,1,1,15,1,15,1
75,68,8999,8,2,8,2,6,6,8,2
76,68,2991,5,5,5,5,5,5,5,5
77,68,8770,15,15,15,15,15,15,15,15
78,23,2575,8,15,8,15,8,8,8,15
79,68,4029,13,15,13,15,13,15,13,13
80,68,10160,15,15,16,15,16,10,15,10
81,68,5874,15,15,1,1,1,1,1,1
82,68,6937,15,15,15,15,15,15,15,15
83,68,7631,15,1,15,1,15,15,1,1
84,68,5168,16,16,15,15,15,16,15,15
85,23,2921,18,18,15,18,18,15,18,18
86,23,742,1,13,1,1,1,1,13,13
87,23,8798,1,1,1,1,1,1,1,1
88,68,9704,8,8,8,6,8,8,8,6
89,68,8291,15,15,15,15,15,15,15,15
90,23,8369,15,8,19,15,19,15,19,19
91,68,8679,16,1,1,1,16,1,16,16
92,23,2821,1,16,15,16,16,16,16,15
93,23,4252,6,8,6,6,8,8,18,8
94,68,6157,1,15,15,15,15,15,15,15
95,68,1916,15,15,15,15,15,15,15,15
96,88,3920,8,8,6,8,8,8,6,6
97,68,6359,5,5,5,5,5,5,5,5
98,23,3575,15,15,15,15,15,8,8,8
99,23,2242,16,10,10,16,10,18,16,16
100,23,7028,1,1,1,1,1,1,1,1
101,23,2210,8,14,8,8,14,2,14,2
102,23,6264,1,1,1,1,1,1,1,1
103,68,6838,15,16,16,15,15,16,15,16
104,88,10227,15,1,1,1,1,1,1,15
105,23,6521,18,13,13,18,13,13,1,13
106,23,7594,5,5,5,5,5,5,5,5
107,68,10124,1,1,1,1,1,1,1,1
108,68,4586,6,11,15,11,11,6,15,11
109,89,7294,10,10,8,10,10,15,10,10
110,68,8619,6,10,1,1,6,6,10,10
111,23,6423,15,15,14,15,14,15,14,14
112,68,7311,15,15,15,15,15,15,15,15
113,68,6720,1,1,1,1,1,1,1,1
114,68,2101,5,5,5,5,5,5,5,5
115,68,2864,15,10,15,15,10,10,10,15
116,23,4917,16,1,16,16,1,16,16,1
117,68,1052,1,1,1,1,1,1,1,1
118,23,7316,15,15,15,15,15,15,15,15
119,31,7809,15,15,15,15,15,15,15,15
120,31,4672,16,1,16,1,1,1,16,1
121,88,5122,15,15,16,15,16,14,14,14
122,68,5265,15,15,15,15,15,15,15,15
123,23,6261,1,1,1,1,1,1,1,1
124,88,6032,18,13,18,13,13,18,13,18
125,88,8505,15,15,15,15,15,15,15,15
126,88,8455,5,5,5,5,5,5,5,5
127,23,5846,1,16,1,16,16,1,16,1
128,68,3191,15,15,15,15,15,15,15,15
129,68,9945,16,15,16,16,16,16,16,16
130,68,7291,8,8,8,8,8,8,8,8
131,68,6110,1,15,1,15,1,1,1,15
132,68,9309,5,5,5,5,5,5,5,5
133,23,8023,1,1,1,1,1,1,1,1
134,68,7724,5,5,5,5,5,5,5,5
135,68,8211,5,5,5,5,5,5,5,5
136,68,9569,15,15,15,15,15,15,15,15
137,68,7947,15,15,6,15,6,15,6,15
138,23,1206,15,15,15,15,15,15,15,16
139,23,8264,1,1,1,1,1,1,1,1
140,71,5172,15,15,15,15,15,15,15,15
141,68,7430,15,15,15,15,15,15,15,15
142,68,5456,1,1,1,1,1,1,1,1
143,68,6934,6,6,6,6,6,6,6,6
144,68,8268,13,13,13,13,18,13,13,18
145,68,6463,15,15,15,15,15,15,15,15
146,68,7022,15,15,15,15,15,15,15,15
147,88,1710,15,10,15,10,10,8,10,10
148,68,9336,18,15,15,18,15,18,15,15
149,68,760,15,16,11,16,16,16,6,11
150,68,2170,19,15,19,19,19,19,15,15
151,68,6996,18,6,18,1,6,10,1,10
152,50,5704,15,15,15,15,15,15,15,15
153,68,10271,15,15,18,15,18,18,15,18
154,68,9970,1,15,15,1,1,1,15,1
155,68,1809,1,1,1,11,1,1,1,11
156,68,1983,13,13,18,13,18,13,18,13
157,68,5927,10,15,15,10,10,10,14,15
158,68,5301,14,2,14,18,2,18,14,2
159,68,4206,11,15,8,8,15,15,11,8
160,88,5604,5,5,5,5,5,5,5,5
161,68,4184,6,16,16,16,8,8,8,16
162,68,304,12,8,8,14,10,14,8,12
163,68,1785,8,8,6,10,10,8,6,10
164,68,1856,1,1,10,15,1,15,1,15
165,68,7390,15,15,15,15,15,15,15,15
166,68,9534,16,15,6,16,15,6,6,15
167,68,1670,15,18,13,18,13,15,13,15
168,68,9029,10,6,8,18,10,10,8,18
169,68,4806,1,1,15,15,1,15,15,15
170,68,611,2,8,8,2,6,8,6,8
171,68,243,2,2,10,6,2,10,6,10
172,68,7273,1,1,1,1,1,1,1,1
173,68,9548,15,15,15,15,15,15,15,15
174,68,4151,1,1,1,1,1,1,1,1
175,68,8873,19,19,19,19,19,19,19,19
176,51,2393,1,15,15,15,1,1,15,15
177,68,4306,16,16,16,15,16,15,16,16
178,68,9908,1,1,1,1,1,1,1,1
179,68,9890,13,6,13,13,13,13,6,13
180,68,9932,15,15,16,15,15,15,15,15
181,88,158,19,8,19,8,1,8,19,8
182,88,3929,15,15,15,15,15,15,15,15
183,68,7771,6,6,6,10,8,8,10,10
184,68,9568,16,16,16,16,1,16,1,1
185,68,8692,1,1,1,1,1,1,1,1
186,68,4254,14,14,4,19,19,19,4,19
187,68,9131,4,4,4,1,1,1,1,1
188,68,496,8,8,8,8,8,8,8,8
189,68,692,16,15,15,15,16,15,15,16
190,68,5990,5,5,5,5,5,5,5,5
191,68,5399,15,15,15,15,15,15,15,15
192,68,3391,1,15,15,1,15,1,1,1
193,68,4161,15,15,16,16,16,1,1,1
194,68,5030,2,2,19,2,19,2,2,19
195,68,153,15,15,15,15,15,15,15,15
196,68,2784,14,14,14,8,15,8,2,14
197,69,4699,17,15,15,15,17,15,15,15
198,68,9720,8,8,8,8,8,8,8,8
199,68,3379,15,15,15,15,15,15,15,15
200,68,1480,16,15,16,16,16,15,15,15
201,68,749,1,1,1,1,1,1,1,1
202,68,1582,6,6,6,6,6,6,6,6
203,68,8722,15,15,1,15,1,1,15,15
204,68,1885,5,5,5,5,5,5,5,5
205,68,7721,16,15,15,15,16,15,15,15
206,68,8935,6,2,2,6,6,6,18,18
207,68,9248,15,15,15,15,15,15,15,15
208,68,7372,9,9,9,9,9,9,9,9
209,88,7344,15,15,15,15,15,15,15,15
210,68,2473,14,18,1,10,18,1,14,18
211,88,893,15,15,15,15,15,15,15,15
212,88,1514,15,15,11,15,11,15,11,15
213,68,4914,15,15,16,15,15,15,15,15
214,68,8394,1,1,1,1,1,1,1,1
215,68,6608,8,15,8,8,8,8,8,8
216,68,9877,15,1,1,15,1,1,15,15
217,68,6609,15,15,15,15,15,15,15,15
218,68,506,19,19,19,19,19,19,19,19
219,68,6202,15,16,15,15,15,15,15,15
220,88,6776,1,1,1,1,1,1,1,1
221,68,4508,16,16,1,16,1,15,1,15
222,88,4067,15,15,15,15,8,15,15,8
223,68,3720,8,8,8,8,8,8,8,8
224,88,6723,8,8,8,8,8,6,6,8
225,68,5706,1,1,1,1,1,1,1,1
226,88,6752,15,8,15,8,8,8,15,15
227,68,647,15,15,8,8,8,8,15,8
228,88,4855,1,1,1,1,1,1,1,1
229,88,1030,15,15,16,15,15,1,1,15
230,88,6913,15,15,15,15,15,15,15,15
231,88,5499,1,1,1,1,1,1,1,1
232,88,7506,1,15,1,15,1,15,1,1
233,68,10506,6,6,16,6,16,6,6,1
234,68,2949,16,1,1,1,16,16,1,16
235,68,9845,13,13,18,13,13,13,18,18
236,68,8948,7,1,1,13,13,1,13,16
237,68,2614,8,8,8,8,8,8,8,8
238,68,6712,15,13,15,13,15,15,13,15
239,88,1806,17,15,17,17,15,17,17,17
240,68,9870,1,1,1,1,1,1,1,1
241,68,8471,7,13,7,7,7,13,13,7
242,88,9527,10,10,10,10,15,15,10,15
243,88,2476,5,5,5,5,5,5,5,5
244,88,6097,8,10,8,4,15,16,10,8
245,88,5779,1,1,1,1,1,1,1,1
246,88,4420,15,15,16,15,15,16,16,15
247,68,1857,13,1,1,13,13,1,13,13
248,68,8823,6,6,6,6,6,6,6,6
249,88,3841,16,16,16,16,1,1,16,16
250,88,3602,15,19,15,15,19,19,19,15
251,68,5780,15,15,15,15,15,15,15,15
252,88,4284,1,1,1,1,1,1,1,1
253,88,1834,1,2,2,2,1,1,2,2
254,68,3142,14,8,14,14,14,8,8,8
255,68,4321,16,18,16,16,4,18,4,1
256,68,7556,10,15,10,10,15,8,10,10
257,92,3511,18,2,6,18,6,6,2,6
258,88,379,15,15,15,15,15,15,15,15
259,68,4304,13,13,15,15,15,13,15,13
260,88,10027,15,15,15,15,15,15,15,15
261,88,10377,15,15,15,15,15,15,15,15
262,31,1193,16,16,15,15,16,16,15,15
263,88,5470,9,16,16,16,16,9,15,11
264,68,2212,1,1,1,1,1,1,1,1
265,88,1782,15,15,15,15,15,15,15,15
266,51,623,15,15,15,15,15,15,15,15
267,88,5570,16,16,15,15,15,15,16,16
268,68,3337,15,15,15,15,15,15,15,15
269,88,9040,1,15,15,1,15,15,1,1
270,88,906,15,19,15,19,15,15,15,19
271,68,8015,1,1,1,1,1,1,1,1
272,88,916,1,1,1,1,1,1,1,1
273,88,4659,1,1,1,16,16,16,16,1
274,88,4246,15,15,15,15,15,15,15,15
275,68,1918,1,1,1,1,1,1,1,1
276,68,5485,15,15,15,15,15,15,15,15
277,68,6571,15,15,8,8,8,15,15,8
278,88,4377,16,15,16,1,16,1,15,15
279,88,1567,15,15,15,15,15,15,15,15
280,68,1681,10,15,15,10,10,15,15,10
281,51,3839,10,10,6,10,6,10,6,10
282,51,4598,19,19,15,19,19,19,15,19
283,68,770,6,2,8,6,2,8,2,8
284,88,2274,1,1,1,16,16,1,16,16
285,88,2975,8,8,10,8,10,10,10,10
286,88,1500,1,16,1,1,16,16,1,16
287,88,6939,10,10,10,15,10,15,15,10
288,23,7725,15,15,8,15,15,8,8,8
289,68,1344,6,8,8,2,2,8,6,15
290,88,9290,15,15,10,10,15,15,8,10
291,68,3814,16,1,1,16,16,16,16,16
292,68,1490,16,16,1,1,16,1,1,1
293,88,8341,1,15,10,1,1,10,10,1
294,68,7777,15,15,15,15,15,15,15,15
295,31,5813,1,1,15,1,1,1,1,1
296,88,2177,15,15,15,15,15,15,15,15
297,88,4440,15,15,15,15,15,15,15,15
298,88,4293,15,15,15,15,16,16,15,15
299,88,9058,15,15,16,16,15,16,16,16
300,68,314,9,18,18,6,6,6,6,18
301,68,10052,1,15,15,15,1,1,15,1
302,88,6213,1,1,1,1,1,1,1,1
303,88,4608,15,15,15,15,15,15,15,15
304,51,9786,15,15,15,15,15,15,15,15
305,88,3804,1,15,15,15,15,1,1,15
306,88,7853,15,15,15,15,15,15,15,15
307,68,6083,1,1,1,1,1,1,1,1
308,88,7763,19,8,19,19,8,19,19,8
309,68,10047,1,1,1,1,1,1,1,1
310,88,9879,7,7,13,7,7,13,13,7
311,88,7165,13,14,15,4,14,13,13,13
312,88,3799,8,15,6,15,8,6,8,6
313,88,3009,6,18,2,2,2,2,2,2
314,88,10462,15,15,4,4,15,15,1,15
315,88,6526,15,15,15,15,15,15,15,15
316,88,3460,8,1,15,15,15,15,8,8
317,51,7240,12,12,8,12,8,8,12,12
318,51,9492,15,15,15,15,15,15,15,15
319,68,5236,15,1,15,15,15,1,1,1
320,88,9046,15,1,15,15,1,15,1,1
321,68,5231,1,1,1,1,1,1,1,1
322,88,329,15,15,15,15,15,15,15,15
323,68,1861,17,17,2,2,2,17,1,6
324,68,1281,8,19,8,19,8,8,19,8
325,88,9651,6,2,2,2,6,2,15,15
326,68,6602,19,6,10,19,6,6,10,10
327,88,375,15,15,15,15,15,15,15,15
328,68,7798,19,19,2,19,19,19,2,19
329,68,10480,1,1,1,1,1,1,1,1
330,88,8786,15,15,15,15,15,15,15,15
331,68,7635,14,14,8,8,8,8,8,8
332,68,9026,11,15,15,11,15,15,15,15
333,51,9000,15,15,15,15,15,15,15,15
334,68,4906,8,6,6,2,2,8,2,6
335,68,2448,16,1,1,1,16,1,16,16
336,88,9984,18,11,11,18,18,18,18,18
337,88,6886,15,15,15,15,15,15,15,15
338,88,4145,1,1,1,1,1,1,1,1
339,68,8241,13,13,13,13,13,13,13,13
340,88,6022,1,1,1,1,1,1,1,1
341,88,7175,1,15,1,1,15,1,15,1
342,51,4593,15,17,15,17,17,15,17,17
343,31,4817,15,12,12,12,12,15,12,12
344,88,9329,1,1,1,1,1,1,1,1
345,88,3290,6,18,6,18,18,6,18,6
346,88,2580,8,15,15,15,15,8,8,15
347,88,6312,16,15,16,16,15,1,15,16
348,88,1051,1,1,1,1,1,1,1,1
349,88,8887,8,8,4,8,4,8,8,6
350,88,6025,15,15,15,15,15,15,15,15
351,88,7736,1,1,1,13,13,4,13,1
352,88,4707,11,16,11,11,11,16,15,15
353,88,1402,16,16,16,16,1,16,1,16
354,68,8073,15,15,15,15,15,15,15,15
355,88,5938,1,1,15,1,1,1,16,1
356,88,5237,6,6,6,1,6,1,6,1
357,88,8606,1,16,1,15,16,15,15,15
358,88,2704,16,18,18,18,16,16,13,18
359,51,1641,5,5,5,5,5,5,5,5
360,88,6653,15,18,7,17,15,17,17,13
361,51,752,15,15,15,15,15,15,15,15
362,88,9692,19,4,4,19,4,4,19,4
363,88,9096,10,4,6,4,6,1,1,1
364,88,10291,9,18,9,1,1,1,1,1
365,88,6235,15,15,15,15,15,15,15,15
366,88,8755,1,6,1,1,1,6,1,6
367,88,4613,1,15,15,1,1,1,15,1
368,88,2879,16,15,15,16,16,1,15,15
369,31,9462,8,8,8,8,8,8,8,8
370,88,1738,1,13,13,13,13,13,1,1
371,88,4163,15,15,15,15,15,15,15,15
372,88,8420,8,6,8,8,8,8,6,6
373,88,4075,16,8,8,8,16,6,8,8
374,88,8485,16,1,16,16,1,1,16,16
375,88,5859,8,6,6,2,6,6,8,2
376,88,5430,18,16,1,16,8,6,6,6
377,88,5899,15,15,15,15,15,15,15,15
378,88,8894,8,15,19,16,8,8,16,8
379,88,2782,9,9,9,9,9,9,9,9
380,68,8302,6,6,6,6,10,10,15,10
381,88,6963,15,15,15,15,15,15,15,15
382,88,4014,15,15,15,15,15,15,15,15
383,88,6673,1,1,6,1,1,6,1,6
384,68,3277,15,15,15,15,15,15,15,15
385,88,5226,16,15,11,11,16,11,15,16
386,57,8260,10,6,10,1,15,6,15,10
387,88,1747,15,15,10,15,15,15,10,10
388,51,989,7,18,18,18,18,18,18,7
389,88,2872,18,18,6,6,4,6,6,18
390,68,4414,1,1,1,1,1,1,1,1
391,68,5806,4,15,4,16,4,4,16,15
392,68,10447,15,15,15,15,15,15,15,15
393,68,9794,19,19,19,19,19,19,19,19
394,68,7733,5,5,5,5,5,5,5,5
395,68,9567,15,15,15,15,15,15,15,15
396,68,9565,15,15,15,15,15,15,15,15
397,68,3646,8,8,6,6,6,8,8,6
398,23,1708,1,1,1,1,1,1,1,1
399,68,9921,15,10,10,1,10,1,10,15
400,88,5130,5,5,5,5,5,5,5,5
401,88,251,6,2,2,6,6,6,2,2
402,88,8953,15,15,15,15,15,15,15,15
403,68,9815,8,8,19,8,19,19,19,8
404,88,5156,15,15,15,15,15,15,15,15
405,88,7669,15,15,15,15,15,15,15,15
406,51,512,1,1,1,1,1,1,1,1
407,88,8435,1,1,1,1,1,1,1,1
408,51,2077,15,15,15,15,15,15,15,15
409,88,6005,1,1,1,1,1,1,1,1
410,88,6781,1,1,1,1,1,1,1,1
411,51,1647,8,1,1,8,8,8,8,1
412,88,9100,9,9,9,9,9,9,9,9
413,88,7387,16,1,16,1,16,16,1,1
414,51,2538,15,15,15,15,15,15,15,15
415,51,1467,1,1,1,1,1,1,1,1
416,88,3243,1,8,10,6,1,10,6,6
417,88,1197,18,18,13,18,18,13,13,18
418,88,5164,8,8,8,8,8,8,8,8
419,88,5049,6,8,6,8,6,8,6,6
420,88,3506,15,15,15,15,15,15,15,15
421,88,7810,16,15,15,16,16,15,15,16
422,51,1391,8,19,2,19,2,8,2,8
423,51,9516,15,14,16,8,15,14,15,16
424,51,8516,15,15,15,15,15,15,15,15
425,88,5069,1,1,1,1,1,1,1,1
426,51,5789,15,15,15,15,15,15,15,15
427,51,10140,15,15,15,15,15,10,15,15
428,88,8998,9,9,9,1,9,9,9,1
429,88,1234,1,1,1,1,1,1,1,1
430,51,136,6,18,6,8,8,8,8,6
431,51,1087,1,2,2,2,1,1,1,1
432,88,1936,8,8,8,8,15,8,8,8
433,88,8275,1,1,1,1,1,1,1,1
434,88,7907,15,1,15,15,15,6,1,15
435,51,1515,15,15,15,15,15,15,15,15
436,51,834,1,1,16,16,16,16,1,1
437,51,8971,1,1,1,1,1,1,1,1
438,51,4356,2,2,6,18,6,6,6,2
439,88,7778,5,5,5,5,5,5,5,5
440,51,6192,16,16,1,16,16,16,16,1
441,51,1977,1,1,1,1,1,1,1,1
442,51,6958,15,15,16,15,15,16,16,15
443,88,9164,16,16,16,1,16,16,1,16
444,51,10007,15,15,15,15,15,15,15,15
445,88,5697,1,1,1,1,1,1,1,1
446,88,10363,15,15,1,15,1,1,1,1
447,51,4204,14,16,16,14,15,15,15,14
448,88,2610,15,15,15,15,15,15,15,15
449,51,5676,1,1,1,1,1,1,1,1
450,51,839,15,8,8,15,8,8,15,15
451,51,9966,15,13,18,15,15,18,13,13
452,88,5374,10,15,15,8,8,8,8,10
453,51,3237,8,8,8,8,8,8,8,8
454,51,8871,15,9,15,15,9,9,15,9
455,88,776,16,6,6,6,18,18,18,18
456,88,9047,1,1,1,1,1,1,1,1
457,88,3656,16,15,16,15,16,15,16,15
458,88,1786,18,18,18,6,18,6,18,18
459,51,6808,10,10,15,8,8,8,10,15
460,51,2933,8,6,10,10,6,18,8,6
461,51,4034,6,6,15,15,15,11,11,15
462,51,7906,1,11,11,6,6,1,6,11
463,68,9379,1,1,1,1,1,1,1,1
464,68,643,1,1,16,16,16,1,1,1
465,51,1946,15,15,16,16,15,15,15,16
466,88,193,1,1,1,1,1,1,1,1
467,88,4653,15,1,1,4,1,1,4,1
468,88,3156,15,1,15,1,15,1,1,1
469,88,1169,1,11,11,11,1,1,1,11
470,51,3286,6,8,6,8,6,6,6,6
471,51,6486,15,15,15,15,15,15,15,15
472,88,4024,15,15,1,1,1,1,15,1
473,51,5162,17,15,15,15,17,17,15,15
474,88,5957,10,1,15,1,15,10,15,15
475,51,10077,8,6,8,10,6,6,6,6
476,51,4475,8,6,2,8,18,8,6,6
477,51,2701,15,15,8,15,15,8,15,15
478,88,6827,6,10,6,6,6,6,6,10
479,51,236,15,15,15,15,15,15,15,15
480,88,2902,13,13,18,18,13,13,13,18
481,51,3268,1,18,18,6,6,1,6,18
482,51,7352,1,1,1,1,1,1,1,1
483,88,8528,9,1,1,1,9,1,1,9
484,51,2615,15,15,15,15,15,15,15,15
485,51,7986,1,1,1,1,1,1,1,1
486,51,6862,8,8,8,8,8,8,8,8
487,51,5345,15,15,15,15,15,15,15,15
488,51,10229,14,14,1,1,1,14,1,1
489,51,1185,6,15,10,6,10,15,10,15
490,23,8661,6,18,8,8,6,8,18,6
491,89,4410,15,15,15,15,15,15,15,15
492,88,634,1,1,15,15,1,15,1,1
493,51,5982,1,1,16,1,1,1,1,1
494,51,5436,16,15,16,16,15,16,16,15
495,51,8413,1,1,16,16,1,1,16,1
496,51,3109,1,15,15,15,1,15,15,1
497,51,2657,15,15,15,15,15,15,15,15
498,88,2910,6,13,13,13,13,6,6,6
499,88,2096,15,15,15,15,15,15,15,15
500,88,4945,2,2,6,6,6,2,6,2
501,88,6617,1,1,1,1,1,1,1,1
502,31,2803,15,15,15,15,15,15,15,15
503,51,6721,15,8,15,15,15,8,8,10
504,51,1701,15,15,15,15,15,15,15,15
505,51,5999,15,16,16,15,16,15,16,15
506,51,2209,15,15,15,15,15,15,15,15
507,51,1085,15,6,15,15,15,15,15,15
508,88,4213,19,19,19,19,19,2,19,19
509,88,7926,1,1,14,1,1,14,14,1
510,88,8491,1,1,1,1,1,1,1,1
511,51,2697,16,15,16,16,15,16,16,15
512,88,184,15,15,1,15,15,15,1,1
513,51,6638,15,14,14,14,6,15,15,14
514,88,2713,1,1,1,1,1,1,1,1
515,51,10340,8,10,2,2,2,2,10,8
516,51,9139,1,1,1,1,1,1,1,1
517,51,5996,10,10,10,10,10,10,8,10
518,31,9698,6,6,15,15,15,15,15,15
519,51,5206,15,15,15,15,15,15,15,15
520,51,6427,15,15,15,15,15,15,15,15
521,51,810,15,15,15,15,15,15,15,15
522,31,2470,15,15,15,15,15,15,15,15
523,51,7272,11,11,11,11,15,15,11,15
524,88,5298,1,1,1,1,1,1,1,1
525,51,4697,15,15,15,15,15,15,15,15
526,88,9759,15,15,15,15,15,15,15,15
527,51,2646,15,13,13,13,13,13,13,13
528,88,6448,10,10,1,1,1,1,1,1
529,88,9602,6,6,6,14,4,4,4,4
530,51,1591,15,16,16,16,16,16,16,16
531,51,7381,15,15,15,15,15,15,15,15
532,88,955,15,15,15,15,15,15,15,15
533,88,8728,15,15,15,15,15,15,15,15
534,51,6327,15,15,15,15,15,15,15,15
535,51,281,16,1,16,16,16,1,1,1
536,51,2516,8,8,8,8,8,8,8,8
537,94,1027,8,15,18,18,12,15,2,15
538,51,9296,1,1,1,1,1,1,1,1
539,51,2648,16,1,8,1,8,16,8,16
540,51,1409,6,6,6,6,6,10,6,6
541,111,10507,15,15,15,15,15,15,15,15
542,51,4802,2,13,6,4,18,1,13,1
543,88,1420,18,18,8,18,8,8,6,18
544,88,8586,8,14,6,14,14,6,6,6
545,51,2618,15,17,17,15,15,17,17,17
546,88,3380,1,16,16,16,1,1,1,1
547,51,7401,13,17,7,17,7,7,17,4
548,51,7806,1,18,1,18,1,18,18,18
549,51,6895,9,15,15,6,6,9,9,9
550,88,6805,8,10,15,8,8,10,8,8
551,51,8733,10,6,16,16,10,6,6,16
552,51,3173,5,5,5,5,5,5,5,5
553,88,176,18,7,4,4,6,7,18,18
554,51,7454,1,1,1,1,1,1,1,1
555,88,5255,15,15,15,15,15,15,15,15
556,88,8037,8,8,8,15,15,8,8,15
557,68,565,15,15,15,1,1,15,15,1
558,51,4849,15,15,15,15,15,15,15,15
559,88,7596,1,1,1,1,1,1,1,1
560,51,1149,6,15,6,15,19,6,15,19
561,88,4851,16,16,1,1,16,16,16,16
562,51,3161,1,1,15,1,15,15,15,1
563,51,656,15,15,1,1,1,15,15,15
564,88,134,15,1,1,1,1,15,15,1
565,51,5885,15,15,1,1,1,15,1,1
566,88,6430,16,15,15,16,15,16,15,15
567,88,5169,15,15,15,15,15,15,15,15
568,31,2506,15,15,15,15,15,15,15,15
569,88,2583,1,15,15,15,15,15,15,1
570,88,6807,1,13,13,1,1,13,13,13
571,51,8418,1,1,1,1,1,1,1,1
572,88,7174,18,13,18,18,13,18,13,18
573,51,9184,8,8,8,8,10,8,10,8
574,88,6880,15,15,15,15,15,15,15,15
575,68,5099,5,5,5,5,5,5,5,5
576,51,7120,15,1,1,15,1,1,15,1
577,88,4441,15,1,15,15,1,15,1,1
578,51,3553,15,16,15,16,15,16,15,15
579,68,9662,1,1,1,1,1,1,1,1
580,58,5151,1,13,1,1,13,1,1,1
581,58,1013,16,1,4,8,16,4,4,16
582,31,7619,1,17,13,13,1,1,1,17
583,29,7796,2,6,2,6,6,2,2,6
584,58,6413,15,18,18,18,9,15,9,15
585,68,5897,15,6,8,6,15,15,15,15
586,66,1651,8,6,10,6,10,6,2,2
587,29,1486,19,8,19,8,19,19,10,19
588,98,9180,7,17,13,15,7,13,15,7
589,29,5086,4,16,4,16,7,13,4,4
590,97,2250,17,17,17,7,13,4,17,7
591,58,3773,16,1,16,16,1,1,16,16
592,88,4931,4,4,1,4,4,4,4,4
593,63,6269,9,9,18,18,18,18,18,18
594,88,9043,8,8,8,8,8,8,8,8
595,88,2366,15,15,15,15,15,15,15,15
596,88,5901,5,5,5,5,5,5,5,5
597,68,2098,1,1,1,1,1,1,1,1
598,23,3240,5,5,5,5,5,5,5,5
599,23,4776,16,15,16,16,15,15,16,16
600,68,579,19,19,4,4,19,19,4,19
601,51,812,15,15,15,15,15,15,15,15
602,23,8599,8,15,15,10,8,10,8,8
603,23,8637,18,13,13,13,18,13,13,18
604,72,1150,19,6,19,6,7,7,19,18
605,23,8502,6,2,2,2,2,2,2,6
606,23,9358,1,1,1,1,1,1,1,1
607,23,10382,15,16,16,16,15,15,15,16
