,Year,Title,0,1,2,3,4,5,6,7,8,9
69,26,5148,10,10,10,10,10,10,10,10,10,10
70,26,1181,15,13,15,13,13,13,7,7,13,13
71,84,9366,15,15,15,15,15,15,13,13,13,13
72,26,4085,15,15,18,15,15,15,18,15,15,18
73,26,3304,0,0,15,0,0,0,9,9,15,0
74,26,8409,12,12,15,15,12,12,12,15,15,15
75,26,2342,0,0,0,15,0,15,15,0,0,0
76,26,1587,15,15,0,15,15,15,15,15,15,15
77,84,1042,11,15,11,15,15,15,7,11,7,11
78,84,366,12,18,12,12,18,12,12,12,18,12
79,84,4950,12,12,12,12,12,12,12,12,12,12
80,26,4981,13,13,7,13,7,13,13,7,7,13
81,84,8045,13,15,8,13,13,13,13,15,15,13
82,26,9424,12,0,12,8,12,12,12,8,8,12
83,84,7502,12,12,0,15,0,15,15,15,15,12
84,84,9160,7,13,11,11,7,13,13,7,7,7
85,26,4463,12,15,15,15,12,15,12,15,15,15
86,26,6999,9,15,15,15,9,9,9,15,9,15
87,26,7134,10,10,10,10,10,10,10,10,10,10
88,84,2407,13,13,15,15,15,13,15,15,13,15
89,84,2302,9,9,11,12,11,12,11,12,9,12
90,84,3248,12,12,12,12,12,12,12,12,12,12
91,84,7957,19,4,13,4,4,19,13,19,13,13
92,84,5220,12,12,12,12,12,12,12,12,12,12
93,26,5497,15,15,15,0,15,15,0,0,15,0
94,144,9572,15,15,12,12,15,15,12,12,15,15
95,84,6082,18,12,2,2,2,2,11,18,12,18
96,84,1309,10,10,10,10,10,10,10,10,10,10
97,26,7104,7,7,16,16,16,16,7,16,7,7
98,94,5498,15,15,15,15,9,9,15,13,15,15
99,26,5173,11,11,7,11,7,12,11,12,11,12
100,84,3092,4,4,4,4,15,15,4,15,4,15
101,26,2189,10,10,10,10,10,10,10,10,10,10
102,26,6519,15,15,15,9,15,15,15,15,9,15
103,84,4420,12,0,0,12,12,0,12,12,0,0
104,26,313,12,12,12,12,12,12,12,12,12,12
105,52,2300,15,15,15,15,15,15,15,15,15,15
106,52,7316,0,12,0,12,0,12,12,0,12,12
107,144,4134,4,4,15,15,15,4,4,4,4,4
108,84,180,12,12,12,12,12,12,12,12,12,12
109,144,4500,18,11,11,11,18,11,11,18,11,18
110,144,8970,10,10,10,10,10,10,10,10,10,10
111,84,6778,0,0,0,12,0,12,0,0,0,12
112,26,8561,13,13,13,13,13,13,13,13,13,13
113,84,4912,12,12,12,12,12,12,12,12,12,12
114,26,5901,10,10,10,10,10,10,10,10,10,10
115,84,5311,0,0,15,0,0,0,15,0,15,0
116,84,8425,12,12,12,12,12,12,12,12,12,12
117,26,7120,12,12,12,12,12,12,12,12,12,12
118,26,6046,15,12,7,15,13,9,13,15,9,12
119,26,1932,11,11,18,18,11,11,11,11,11,18
120,26,9184,15,15,15,15,15,15,15,15,15,15
121,26,7428,15,15,15,15,15,15,15,15,15,15
122,144,4086,9,9,15,13,9,15,15,9,9,15
123,26,3754,3,15,15,15,3,11,3,11,11,3
124,26,3939,15,0,15,0,0,0,15,7,16,0
125,26,2156,8,15,8,15,15,15,8,8,15,8
126,26,1175,12,12,7,12,7,12,11,11,11,11
127,74,7556,15,15,15,15,15,15,15,15,15,15
128,26,3076,11,11,15,15,11,15,16,15,15,15
129,26,4710,12,15,15,12,12,12,12,12,12,12
130,26,4084,12,12,16,16,12,12,12,12,12,12
131,26,837,18,11,11,18,18,11,18,18,18,18
132,26,8879,4,4,9,4,15,4,15,9,9,9
133,26,908,19,19,7,4,4,11,19,7,4,4
134,26,2747,16,16,13,15,16,15,16,13,16,15
135,144,5690,10,10,10,10,10,10,10,10,10,10
136,26,7011,7,5,5,0,7,7,5,0,7,7
137,26,5343,14,14,14,4,14,9,4,4,4,14
138,26,2204,9,9,7,13,9,9,13,9,7,7
139,26,992,9,12,15,9,9,12,9,15,9,12
140,26,6452,7,0,7,7,7,15,7,7,15,7
141,26,9132,18,18,15,18,11,15,11,15,11,15
142,26,6524,9,9,13,11,9,11,13,7,7,13
143,26,3095,12,12,12,15,15,12,12,15,15,15
144,26,5911,7,7,13,7,19,13,19,19,13,13
145,26,390,7,19,19,19,9,9,7,9,9,7
146,26,3326,12,12,12,12,12,12,12,12,12,12
147,26,8894,15,15,15,15,15,15,15,15,15,15
148,26,5228,12,12,12,12,12,12,12,12,12,12
149,26,7046,8,8,8,8,8,8,8,8,8,8
150,114,7208,15,12,15,12,15,15,15,12,12,12
151,26,8279,15,15,0,0,15,15,0,0,0,15
152,26,7765,12,0,0,0,0,0,0,12,12,0
153,26,2376,7,18,7,18,18,18,18,18,18,18
154,144,8652,8,13,8,8,8,8,12,8,13,12
155,144,2055,15,15,15,15,15,15,15,15,15,15
156,26,2009,7,9,7,9,9,13,13,13,13,13
157,26,3255,0,0,12,0,12,12,12,12,12,12
158,26,1020,12,12,12,12,12,12,12,12,12,12
159,26,9460,8,4,8,17,4,4,4,8,8,8
160,26,702,17,12,17,17,17,17,12,17,12,12
161,26,5283,13,13,13,13,13,13,13,13,13,13
162,26,5708,15,0,0,15,0,0,15,0,15,15
163,26,7612,15,15,15,15,15,15,15,15,15,15
164,26,9535,15,12,15,15,15,15,12,12,12,15
165,26,3215,12,0,0,12,15,15,0,12,0,0
166,26,2837,19,19,19,19,19,8,19,19,19,19
167,26,1247,9,15,7,13,13,15,19,15,19,7
168,137,8739,15,15,2,2,15,15,15,15,0,2
169,26,8999,17,15,15,17,17,17,15,15,17,15
170,26,3727,15,0,0,15,0,15,15,15,15,15
171,26,2821,12,12,12,12,12,12,12,12,12,12
172,26,1119,7,7,7,7,7,7,7,7,7,7
173,26,5617,15,15,15,12,15,15,15,12,12,12
174,26,4600,10,10,10,10,10,10,10,10,10,10
175,26,8249,0,0,0,0,0,0,0,15,0,0
176,26,202,11,11,11,7,7,19,11,19,11,7
177,26,4343,15,15,15,15,15,15,15,15,15,15
178,26,6904,5,5,5,5,5,5,5,5,5,5
179,144,6247,15,15,15,15,15,15,15,15,15,15
180,26,7372,9,11,9,9,11,12,4,9,4,9
181,144,1950,15,15,15,15,15,15,15,15,15,15
182,144,4898,16,15,16,16,16,15,16,15,15,16
183,26,5847,15,15,0,15,15,15,0,15,15,0
184,26,9527,12,12,12,12,12,12,12,12,12,12
185,26,9447,13,13,13,13,13,15,13,13,13,13
186,26,5143,15,15,12,15,12,15,15,15,15,15
187,26,2686,15,15,15,15,15,15,15,15,15,15
188,26,3785,8,8,8,8,8,8,8,8,8,8
189,26,5844,15,15,0,0,0,15,15,15,15,15
190,144,8603,12,12,12,12,12,12,12,12,12,12
191,26,6863,12,12,15,0,12,0,12,15,0,0
192,144,3811,15,13,13,13,15,15,13,13,13,13
193,144,1224,7,7,13,13,13,13,13,13,13,7
194,26,4873,12,12,12,12,12,12,12,12,12,12
195,144,4454,13,13,13,13,15,13,13,13,15,15
196,26,3450,15,13,13,15,13,13,13,13,15,13
197,144,7310,11,11,12,11,11,11,12,11,12,12
198,144,1091,0,12,12,15,12,12,12,15,15,12
199,144,2991,15,15,15,15,15,15,15,15,15,15
200,144,6995,12,12,12,12,12,12,12,12,12,12
201,144,6004,12,12,12,12,12,12,12,12,15,12
202,26,7412,7,7,0,0,7,0,0,12,0,0
203,26,3682,12,12,0,12,0,0,0,12,0,0
204,26,2144,11,18,18,11,18,18,18,11,11,18
205,26,6300,1,0,12,0,12,18,0,0,0,0
206,26,3424,13,13,13,13,13,13,13,13,13,13
207,26,7708,15,15,18,18,15,18,18,18,18,18
208,144,6710,2,15,15,2,2,15,15,2,15,15
209,26,3609,18,17,12,17,12,17,17,12,17,12
210,144,8941,10,10,10,10,10,10,10,10,10,10
211,144,3246,15,9,15,15,9,9,15,15,9,9
212,144,8316,12,12,12,12,12,12,12,12,12,12
213,144,9322,15,0,15,0,15,0,15,0,0,15
214,26,3493,18,12,12,12,18,18,18,12,18,12
215,26,3213,7,7,7,7,7,7,7,7,7,7
216,144,1666,0,0,12,0,12,0,12,12,12,12
217,144,2662,15,8,15,8,8,8,8,15,15,15
218,26,4015,15,15,15,15,15,15,15,15,15,15
219,26,5321,12,12,12,12,12,12,12,12,12,12
220,144,2002,19,12,19,12,19,12,19,19,12,19
221,26,6968,13,13,13,13,13,13,13,13,4,13
222,26,6673,17,17,18,0,18,12,0,18,0,11
223,26,5908,15,13,9,15,15,15,15,9,9,13
224,29,9573,19,19,7,19,7,11,19,19,7,7
225,144,3160,15,15,15,15,15,15,15,15,15,15
226,26,9568,15,18,15,18,18,18,18,18,18,18
227,144,7703,15,15,15,15,15,15,15,15,15,15
228,52,3686,15,0,0,0,17,0,0,0,0,0
229,144,5388,5,5,5,16,0,5,0,5,16,16
230,26,5957,12,12,12,12,12,12,12,12,12,12
231,114,7178,15,15,15,15,15,15,15,15,15,15
232,144,1548,15,0,0,0,15,15,15,15,15,15
233,26,987,15,15,15,15,15,15,15,15,15,15
234,144,8365,15,12,15,15,15,12,15,12,15,15
235,144,8610,15,15,19,15,8,19,8,15,8,15
236,26,7012,12,12,12,12,12,12,12,12,12,12
237,144,2024,12,12,12,12,12,12,12,12,12,12
238,144,7361,12,0,12,12,0,12,12,12,12,0
239,144,740,15,15,15,15,15,15,15,15,15,15
240,26,5057,12,12,12,12,12,12,12,12,12,12
241,26,7657,15,15,15,15,15,15,15,15,15,15
242,26,7366,13,13,15,15,13,13,13,15,13,13
243,144,2524,15,15,0,12,12,0,0,0,0,12
244,144,1940,15,15,15,15,15,15,15,15,15,15
245,26,711,15,9,9,15,15,15,9,15,15,9
246,114,2099,9,7,9,7,7,7,7,7,9,7
247,114,5835,15,15,8,15,8,8,15,8,8,8
248,144,8909,0,12,0,12,0,12,0,0,0,12
249,144,4941,9,9,7,9,13,7,13,9,7,9
250,144,9312,12,12,12,12,12,12,12,12,0,0
251,144,8560,15,15,9,9,15,15,15,15,15,15
252,84,6360,15,13,13,15,13,13,13,15,13,13
253,26,355,13,19,19,19,19,7,13,7,19,15
254,144,7749,7,9,15,13,7,9,15,7,15,7
255,26,2115,0,0,0,0,12,0,0,0,0,12
256,26,4076,12,12,0,0,0,12,0,0,12,0
257,144,6847,9,12,9,12,12,13,12,12,12,15
258,52,7243,15,15,15,15,15,15,15,15,15,15
259,144,168,15,15,15,15,15,15,15,15,15,15
260,144,4877,15,15,15,15,15,15,15,15,15,15
261,144,7649,15,15,15,15,15,15,0,0,0,0
262,144,5164,15,0,0,0,15,15,15,15,15,0
263,26,4033,7,13,13,13,7,13,5,7,5,5
264,26,930,12,15,15,15,15,15,12,12,12,15
265,144,6922,12,12,12,12,12,12,12,12,12,12
266,144,8534,15,15,15,15,15,15,15,15,15,15
267,114,8259,15,15,15,15,15,15,15,15,15,15
268,144,2907,15,12,15,15,12,15,12,15,12,12
269,26,4342,12,12,12,12,12,12,12,12,12,12
270,144,2898,8,8,8,13,13,8,13,13,8,8
271,26,3396,12,12,12,12,12,12,12,12,12,12
272,144,5071,18,18,1,18,18,1,1,1,1,18
273,144,9068,17,4,15,4,18,4,18,15,4,18
274,144,5764,15,13,13,7,15,7,7,7,13,13
275,144,7434,19,11,11,7,11,11,11,11,11,11
276,144,8053,15,17,15,12,15,17,17,12,17,12
277,144,6078,9,15,15,9,15,15,15,15,15,9
278,144,5055,12,13,12,15,15,15,15,13,13,15
279,114,610,13,14,13,13,13,14,14,14,13,13
280,114,8192,15,15,15,15,15,15,15,15,15,15
281,26,5823,15,15,12,15,15,12,15,15,15,15
282,144,2644,12,15,12,12,12,12,12,15,12,12
283,26,9318,12,12,12,12,12,12,12,12,12,12
284,144,7625,15,15,15,15,15,15,15,15,15,15
285,26,1848,19,12,19,7,12,12,7,7,19,19
286,26,6997,13,8,13,8,13,8,8,13,8,8
287,144,6295,15,19,15,19,11,15,11,19,11,15
288,26,1694,7,7,7,9,9,9,9,9,9,7
289,144,6935,15,15,15,15,15,15,15,15,15,15
290,26,3057,8,19,19,19,19,8,8,19,8,8
291,26,6962,12,12,12,12,12,12,12,12,12,12
292,144,5796,15,15,15,15,15,15,15,15,15,15
293,26,5700,13,4,4,13,13,4,13,13,4,13
294,26,7969,16,16,16,16,15,16,15,15,15,15
295,114,4882,15,15,15,15,15,15,15,15,15,15
296,26,7845,7,19,13,19,7,7,13,19,13,19
297,26,9054,0,0,12,0,12,0,0,0,0,12
298,144,3252,11,16,11,15,11,16,16,16,16,16
299,144,3380,15,15,15,15,15,15,15,15,15,15
300,144,636,12,12,12,12,12,12,12,12,12,12
301,26,8058,18,18,18,18,18,18,18,18,18,18
302,144,6484,12,12,12,12,12,12,12,12,12,12
303,144,1793,15,12,12,15,15,15,12,15,15,12
304,114,4948,2,15,2,2,2,2,2,15,15,2
305,52,6614,0,15,0,14,14,0,0,14,14,15
306,144,1135,12,12,12,12,12,12,12,12,12,12
307,144,5553,13,13,7,7,15,9,15,13,13,13
308,144,5776,4,15,13,13,15,15,13,4,4,13
309,144,6379,12,15,12,12,0,15,12,15,0,15
310,144,1355,15,15,15,15,15,15,15,15,12,15
311,144,4754,17,7,17,17,13,17,7,9,13,13
312,144,7524,15,15,15,15,15,15,15,15,15,15
313,144,7409,17,17,17,12,18,12,12,18,12,17
314,144,4980,15,15,16,0,16,12,16,0,15,15
315,144,8799,0,12,12,0,12,12,0,0,12,12
316,26,526,15,15,15,15,15,15,15,15,15,15
317,144,1522,12,12,0,0,0,0,0,12,0,15
318,144,2645,12,12,7,12,12,12,7,12,7,12
319,144,7947,12,15,0,15,0,15,0,0,0,12
320,144,940,11,0,11,18,18,0,0,11,18,18
321,114,8887,10,10,10,10,10,10,10,10,10,10
322,144,2792,3,1,11,3,15,2,2,1,11,11
323,114,8861,15,15,15,15,15,15,15,15,15,15
324,144,5614,8,15,8,13,8,8,15,15,8,4
325,144,2332,9,7,9,7,9,9,7,17,9,17
326,144,670,11,11,11,12,11,12,11,12,5,12
327,144,9211,15,15,15,15,15,15,15,15,15,15
328,144,3830,7,7,12,7,12,7,7,12,12,12
329,144,2594,15,15,15,12,12,15,12,15,15,15
330,144,2205,15,0,12,0,12,12,0,15,12,12
331,52,5884,13,13,13,13,13,13,13,13,13,13
332,144,2478,18,12,12,12,12,18,18,18,12,12
333,144,7648,13,7,7,7,7,13,7,13,7,13
334,144,2290,13,0,0,13,0,13,0,0,0,0
335,144,1889,12,12,0,12,12,0,0,0,12,12
336,144,8306,7,19,13,19,7,13,13,13,7,7
337,144,4588,11,7,12,11,0,7,0,0,13,7
338,144,1180,15,0,0,0,0,0,15,0,0,0
339,144,9598,13,13,0,0,15,13,13,0,8,15
340,144,6661,5,5,5,5,5,5,5,5,5,5
341,26,4821,9,9,15,7,9,9,15,15,15,15
342,144,9385,15,15,15,15,15,15,15,15,15,15
343,144,5490,15,15,15,15,15,15,15,15,15,15
344,144,7444,7,12,7,12,12,7,12,12,12,7
345,26,483,15,15,15,15,15,15,15,15,15,15
346,144,1580,16,16,16,0,15,15,16,0,0,16
347,72,5627,15,7,9,9,15,15,7,7,9,7
348,144,8128,15,9,9,15,15,15,15,9,15,9
349,144,7919,11,17,17,11,7,11,17,11,11,17
350,144,1047,17,7,17,17,17,7,7,17,7,7
351,144,4711,15,15,15,15,15,15,15,15,15,15
352,26,2367,13,8,13,8,8,13,8,8,13,13
353,144,2918,15,15,15,15,15,15,15,15,15,15
354,144,3575,9,9,15,15,9,9,9,15,15,15
355,114,7993,18,18,18,17,17,18,12,17,18,12
356,114,8390,15,15,15,15,15,15,15,15,15,15
357,144,289,12,12,12,12,12,12,12,12,12,12
358,144,2254,12,12,12,12,12,12,12,12,12,12
359,114,3656,12,12,13,12,13,12,12,12,13,13
360,144,7335,5,5,5,5,5,5,5,5,5,5
361,144,1787,12,0,0,0,0,12,12,0,0,12
362,114,1193,15,15,15,15,15,15,15,15,15,15
363,114,6023,12,12,12,12,12,12,12,12,12,12
364,144,4985,13,12,9,12,9,9,12,7,13,9
365,144,7580,18,18,11,11,18,18,15,15,11,18
366,144,7209,13,13,13,13,13,13,13,13,13,13
367,144,1297,13,13,13,13,7,13,7,13,13,7
368,144,8095,15,15,15,15,15,15,15,15,15,15
369,144,4186,0,15,15,0,0,15,0,0,0,0
370,114,6750,8,13,13,8,8,13,13,19,13,8
371,114,5606,13,15,0,13,4,13,13,0,13,4
372,114,6531,15,15,15,15,15,15,15,15,15,15
373,144,2223,12,12,12,12,12,12,12,12,12,12
374,114,924,12,15,12,15,15,12,12,12,15,12
375,114,2778,9,9,9,9,15,15,9,15,15,9
376,144,1298,12,12,12,12,12,11,5,11,12,11
377,144,5319,12,12,12,12,12,12,12,12,12,12
378,114,8677,13,7,11,11,7,13,11,11,13,11
379,114,4714,19,19,19,12,19,19,19,19,12,19
380,144,9111,13,15,13,15,15,15,15,15,15,13
381,144,155,12,12,12,12,12,12,12,12,12,12
382,144,7286,12,15,12,7,7,15,12,15,12,7
383,114,8914,0,12,0,0,0,0,0,12,0,0
384,114,7627,12,12,12,12,12,12,12,12,12,12
385,114,3249,11,11,19,19,7,7,11,7,19,19
386,114,4879,12,12,12,0,0,12,0,0,0,12
387,114,7851,12,12,12,12,12,12,12,12,12,12
388,114,8963,15,0,15,0,0,15,0,0,15,0
389,114,1085,15,15,15,15,15,15,15,15,15,15
390,144,4554,12,12,12,12,12,12,12,12,12,12
391,144,4751,15,15,15,15,15,15,12,12,15,12
392,114,9156,4,4,0,15,0,4,15,0,4,0
393,144,7482,15,15,15,15,15,15,15,15,15,15
394,114,7609,0,0,0,0,0,12,12,12,0,0
395,114,7646,13,15,13,15,15,13,15,13,15,13
396,114,9284,15,15,18,11,15,15,18,11,15,18
397,144,5065,9,9,15,15,15,15,9,9,13,15
398,114,2340,13,13,13,13,13,13,13,13,13,13
399,114,817,15,15,5,15,5,5,5,5,15,5
400,144,2439,13,7,0,13,0,15,9,9,7,13
401,144,2621,12,12,12,12,12,12,12,12,12,12
402,144,1800,15,0,0,0,15,0,15,15,0,0
403,114,346,11,11,9,7,9,13,9,11,13,11
404,114,184,16,16,7,12,12,12,12,16,7,7
405,26,8256,12,12,12,12,12,12,12,12,12,12
406,26,2081,12,0,12,0,12,12,12,0,12,0
407,114,8863,15,15,15,0,0,15,15,15,15,15
408,144,7972,12,12,12,12,12,12,12,12,12,12
409,144,1018,12,12,12,12,12,12,12,12,12,12
410,144,1332,12,15,15,15,15,15,15,12,12,15
411,144,3021,12,16,12,16,12,16,12,16,16,12
412,114,6759,13,13,7,13,13,7,7,13,7,7
413,114,7107,15,15,15,15,15,15,15,15,15,15
414,144,5843,15,12,12,15,12,12,15,15,12,15
415,114,3700,2,15,2,15,15,2,2,2,2,2
416,144,6144,15,12,15,12,9,12,9,15,12,15
417,114,8423,7,9,13,9,13,13,13,9,9,7
418,114,5882,7,13,7,13,11,13,7,19,19,11
419,114,3410,15,15,13,13,13,15,15,13,13,13
420,144,8100,9,15,15,13,13,13,9,9,13,15
421,144,4531,11,11,18,11,18,11,11,18,18,18
422,114,4781,11,11,17,11,7,17,11,7,11,11
423,114,5721,12,12,12,12,12,12,12,12,12,12
424,144,7564,12,5,12,12,12,5,12,5,12,12
425,114,9561,15,15,15,0,15,0,15,15,15,15
426,114,1725,12,12,12,12,12,12,12,12,12,12
427,114,3490,13,13,13,13,13,13,13,13,13,13
428,114,7020,15,15,15,15,15,15,15,15,15,15
429,114,1549,4,4,12,4,12,12,4,4,12,12
430,114,1153,15,7,15,7,9,7,9,15,7,9
431,84,3181,13,7,11,13,7,13,11,7,13,11
432,94,4736,15,15,15,15,15,15,15,15,15,15
433,144,431,12,13,13,13,0,0,13,12,15,13
434,114,1201,0,12,12,12,0,0,12,0,0,12
435,114,8214,12,12,0,12,12,12,12,12,12,12
436,114,7809,12,15,12,12,15,15,12,15,12,15
437,114,6077,15,15,15,15,15,15,15,15,15,15
438,144,7225,18,18,18,0,0,7,0,18,7,0
439,144,4152,19,19,7,19,19,19,7,19,15,15
440,144,6203,12,12,12,12,12,12,12,12,12,12
441,52,7175,0,15,17,17,15,0,15,17,15,17
442,114,2807,13,13,9,15,15,9,13,9,9,15
443,114,1412,15,15,15,15,15,15,15,15,15,15
444,114,2449,15,15,0,15,15,0,0,15,15,0
445,114,6157,15,15,15,15,15,15,15,15,15,15
446,114,6823,7,7,7,15,7,7,15,7,15,7
447,144,1486,8,8,8,19,8,8,8,8,8,19
448,144,5252,12,12,12,12,12,0,4,0,0,4
449,144,5603,12,12,12,12,12,12,12,12,12,12
450,114,2952,15,0,15,15,15,15,15,15,15,15
451,144,6273,12,15,15,15,15,15,12,15,15,15
452,114,535,7,7,4,15,7,15,15,7,4,4
453,144,6881,12,12,12,12,12,12,12,12,12,12
454,114,759,13,7,19,9,13,7,13,13,7,9
455,114,3484,12,12,12,12,12,12,12,12,12,12
456,114,5833,9,9,13,9,9,9,9,13,9,9
457,52,4563,7,7,7,15,15,7,7,7,15,15
458,114,1540,15,15,15,15,15,15,15,15,15,15
459,114,5647,15,15,15,15,15,15,15,15,15,15
460,52,1064,15,15,15,15,15,15,15,15,15,15
461,114,3555,15,15,16,15,15,15,15,15,15,15
462,144,6959,12,15,12,12,15,12,12,12,15,12
463,114,8619,15,15,15,15,15,15,15,15,15,15
464,114,6780,15,15,18,15,18,18,18,18,15,18
465,144,9525,8,8,12,8,8,12,8,12,8,9
466,144,3844,7,7,17,7,7,7,7,4,17,17
467,114,3710,0,0,0,0,15,15,0,0,15,0
468,114,7024,15,15,15,15,15,15,15,15,15,15
469,144,8145,15,15,15,15,15,15,15,15,15,15
470,144,727,15,15,15,15,15,15,15,15,15,15
471,114,7419,15,15,15,15,15,15,15,15,15,15
472,114,8838,12,15,12,0,12,12,12,15,15,0
473,114,7346,13,13,13,13,13,13,13,13,13,13
474,105,3659,13,19,19,19,19,13,19,7,13,13
475,114,1808,15,0,12,12,15,15,15,12,0,0
476,114,5503,0,13,13,0,12,12,13,12,0,0
477,114,712,9,9,9,7,9,7,7,7,7,7
478,114,4013,17,19,12,17,17,11,11,12,17,19
479,144,7526,7,13,13,11,11,13,11,7,7,13
480,144,1244,4,4,13,7,13,7,7,4,4,7
481,114,3432,15,2,2,2,15,15,2,2,2,2
482,144,5337,0,12,0,12,12,0,0,12,12,12
483,114,3247,1,18,18,17,18,2,17,17,2,18
484,114,640,11,7,0,12,0,7,11,12,7,0
485,114,1911,5,5,7,15,15,15,5,7,5,7
486,114,2903,9,9,9,13,9,9,13,13,9,9
487,114,2932,10,10,10,10,10,10,10,10,10,10
488,144,411,1,11,11,1,11,7,7,18,18,1
489,26,6841,12,15,15,15,12,12,15,12,15,15
490,114,718,15,0,15,15,15,0,0,15,15,0
491,144,4374,12,12,12,12,12,12,12,12,12,12
492,114,3878,12,12,12,12,15,12,12,15,15,12
493,114,8168,12,12,12,15,15,15,15,15,12,12
494,144,9552,12,15,12,15,12,12,15,12,12,15
495,52,3322,15,15,15,15,15,15,15,15,15,15
496,144,3601,12,12,15,12,15,12,12,15,12,12
497,144,6284,12,12,12,12,12,18,12,18,18,18
498,144,2665,15,15,15,15,15,11,18,15,15,18
499,114,8321,13,9,9,13,13,13,13,9,9,9
500,144,656,15,15,15,15,15,15,15,15,15,15
501,26,3949,10,10,10,10,10,10,10,10,10,10
502,144,2840,15,12,12,15,15,15,15,12,15,15
503,26,5877,12,12,12,12,12,12,12,12,12,12
504,123,222,12,12,12,18,18,12,12,12,12,18
505,123,7924,12,0,13,0,17,17,13,12,15,12
506,52,7979,11,1,11,18,1,2,18,1,18,18
507,80,2721,19,7,7,19,7,7,7,7,19,19
508,123,1581,5,15,11,5,15,11,15,15,15,11
509,47,2597,13,7,13,9,9,9,7,7,7,13
510,80,9518,9,8,13,9,8,8,8,13,13,8
511,31,2484,18,18,17,2,2,18,17,15,18,15
512,80,6731,18,18,2,17,18,2,18,18,18,17
513,115,6143,1,17,1,17,18,17,1,17,17,17
514,123,2759,0,12,12,12,0,0,0,12,12,12
515,95,2609,5,11,5,5,5,5,11,5,11,5
516,144,1676,7,7,7,12,12,7,9,7,9,9
517,144,1920,10,10,10,10,10,10,10,10,10,10
